OBJECTID,HUC_10,HUC_8,HUC_6,HUC_4,HUC_2,WSC_CODE,NAME,BASIN,,Natural Region,Cluster,Data_Source,Area_km2,RoadsDensity_m_km2,RailsDensity_m_km2,Trans_Density_m_km2,ServCorridor_Density_m_km2,Indust_density_m2_km2,Resid_density_m2_km2,Imperv_density_m2_km2,Agri_density_m2_km2, Fertil_Density_ha_km2 ,Cattle_Density_n_km2,Energy_Mining_density_m2_km2,Wells_density_m2_km2,Waste__density_m2_km2,SW_use_m3_km2,GW_use_m3_km2,Canal_density_m2_km2,Res_density_m2_km2,Dam_density_n_km2,StreamRoadCrossing_density_n_km2,Pop_Density_n_km2,Harvest_density_m2_km2,Wildfire_density_m2_km2,Riparian_density_km2_km2,RoadsRipDensity_m_km2,ResidRip_density_m2_km2,AgriRip_density_m2_km2,Shape_Length,Shape_Area
1,1101010101,11010101,110101,1101,11,05DA,NORTH SASKATCHEWAN - BANFF NATIONAL PARK,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,826,59,0,59,47,0,0,997,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0.065,238,0,0,151322,825948801
2,1101010104,11010101,110101,1101,11,05DA,MISTAYA RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,313,118,0,118,121,0,0,2034,0,0,0,0,0,0,0,12,0,0,0,0.1,2,0,6723,0.082,519,0,0,104489,313363685
3,1101010203,11010102,110101,1101,11,05DA,LOWER SIFFLEUR RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,2,GOA,102,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,101689,0.093,0,0,0,51502,102266562
4,1101010202,11010102,110101,1101,11,05DA,SIFFLEUR RIVER BELOW BANFF NATIONAL PARK,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,249,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132333,0.069,0,0,0,79687,249445497
5,1101010201,11010102,110101,1101,11,05DA,SIFFLEUR RIVER - BANFF NATIONAL PARK,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.093,0,0,0,63374,162488322
6,1101010302,11010103,110101,1101,11,05DA,MCDONALD CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.061,0,0,0,77611,213807749
7,1101010304,11010103,110101,1101,11,05DA,CORAL CREEK,NORTH SASKATCHEWAN,,Mixed Alpine,2,GOA,176,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35518,0.069,0,0,0,75458,175529614
8,1101010301,11010103,110101,1101,11,05DA,UPPER CLINE RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,171,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.069,0,0,0,72644,170618797
9,1101010303,11010103,110101,1101,11,05DA,LOWER CLINE RIVER,NORTH SASKATCHEWAN,,Mixed Alpine,1,GOA,275,26,0,26,96,144,0,384,0,0,0,0,0,0,0,120,0,7639,0,0,1,10365,0,0.051,44,0,0,101282,274992132
10,1101020103,11010201,110102,1101,11,05DC,SHUNDA CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,287,831,0,831,1730,3904,2828,19257,0,0,0,1306,1033,109,0,2735,0,89,0,0.4,1,20053647,13929,0.12,669,3012,0,103448,286934851
11,1101020104,11010201,110102,1101,11,05DC,TROUT CREEK,NORTH SASKATCHEWAN,,Foothills,1,GOA,85,465,0,465,1661,0,0,7338,0,0,0,682,0,0,0,0,0,0,0,0.2,1,14161759,0,0.162,372,0,0,61916,84872853
